case_id,family,n,k,rate,location_label,location_fraction,snr_db,trials,latent_success_rate,plain_censor_rate,median_latent_rank,p90_latent_rank,median_rank_ratio_lower_bound,p10_rank_ratio_lower_bound,median_exact_rank_ratio,median_latent_queue_touch_fraction
RP128_DENSE,dense,128,104,0.8125,early,0.15,8.0,8,1.0,1.0,41.5,729.8,2438.3078730904817,148.337080914186,,0.16535433070866143
RP128_DENSE,dense,128,104,0.8125,late,0.85,8.0,8,1.0,1.0,586.5,6509.9,254.17118093174432,16.730498634610527,,1.0
RP128_DENSE,dense,128,104,0.8125,middle,0.5,8.0,8,1.0,1.0,75.0,2066.3999999999996,1333.3333333333333,50.158507561803106,,0.5118110236220472
RP128_SPARSE,sparse,128,104,0.8125,early,0.15,8.0,8,1.0,1.0,30.5,987.6999999999999,3300.8658008658012,105.79063592393588,,0.16535433070866143
RP128_SPARSE,sparse,128,104,0.8125,late,0.85,8.0,8,1.0,1.0,253.0,3770.599999999998,395.2630921134858,107.51521480200364,,1.0
RP128_SPARSE,sparse,128,104,0.8125,middle,0.5,8.0,8,1.0,1.0,91.5,1002.3,1100.2886002886003,102.89176389660555,,0.5118110236220472
RP32_DENSE,dense,32,24,0.75,early,0.15,7.0,20,1.0,1.0,7.0,80.40000000000003,14285.714285714286,1251.8853695324283,,0.14516129032258063
RP32_DENSE,dense,32,24,0.75,late,0.85,7.0,20,1.0,0.0,32.0,85.50000000000017,16.266414141414142,2.354735182849937,16.266414141414142,0.9193548387096774
RP32_DENSE,dense,32,24,0.75,middle,0.5,7.0,20,1.0,1.0,19.5,216.1000000000003,5131.578947368422,488.0139113153646,,0.5483870967741935
RP32_SPARSE,sparse,32,24,0.75,early,0.15,7.0,20,1.0,1.0,6.5,91.10000000000025,15476.190476190477,1257.0325427468285,,0.14516129032258063
RP32_SPARSE,sparse,32,24,0.75,late,0.85,7.0,20,1.0,0.0,33.5,134.1000000000001,22.6252688172043,0.7881733021077284,22.6252688172043,0.9354838709677419
RP32_SPARSE,sparse,32,24,0.75,middle,0.5,7.0,20,1.0,1.0,20.0,65.70000000000016,5000.0,1725.1461988304097,,0.5483870967741935
RP64_DENSE,dense,64,48,0.75,early,0.15,8.0,15,1.0,1.0,14.0,84.6,7142.857142857143,1182.0728291316527,,0.1746031746031746
RP64_DENSE,dense,64,48,0.75,late,0.85,8.0,15,1.0,1.0,58.0,122.2,1724.1379310344828,818.3833904454747,,0.873015873015873
RP64_DENSE,dense,64,48,0.75,middle,0.5,8.0,15,1.0,1.0,37.0,77.99999999999997,2702.7027027027025,1602.5641025641028,,0.5238095238095238
RP64_SPARSE,sparse,64,48,0.75,early,0.15,8.0,15,1.0,1.0,16.0,423.6,6250.0,236.08316566063044,,0.1746031746031746
RP64_SPARSE,sparse,64,48,0.75,late,0.85,8.0,15,1.0,1.0,59.0,231.39999999999998,1694.915254237288,445.52818647710365,,0.873015873015873
RP64_SPARSE,sparse,64,48,0.75,middle,0.5,8.0,15,1.0,1.0,46.0,141.59999999999997,2173.913043478261,742.3981640849111,,0.5238095238095238
