case_id,trial_uid,trial_id,n,k,rate,family,snr_db,location_label,location_fraction,tau,direction,latent_true_component_rank,latent_cap_hit,plain_true_word_rank,plain_cap_hit,rank_ratio,rank_ratio_lower_bound,latent_components_generated,plain_components_generated,latent_queues_touched,latent_hypotheses_available,wall_seconds
RP32_DENSE,RP32_DENSE_c0_early_t0,0,32,24,0.75,dense,7.0,early,0.15,2,1,5,False,,True,,20000.0,5,100000,4,31,0.7899379580048844
RP32_DENSE,RP32_DENSE_c0_early_t1,1,32,24,0.75,dense,7.0,early,0.15,2,1,78,False,,True,,1282.051282051282,78,100000,31,31,0.9093078930163756
RP32_DENSE,RP32_DENSE_c0_early_t2,2,32,24,0.75,dense,7.0,early,0.15,2,1,6,False,,True,,16666.666666666668,6,100000,4,31,0.9063682049745694
RP32_DENSE,RP32_DENSE_c0_early_t3,3,32,24,0.75,dense,7.0,early,0.15,2,1,137,False,,True,,729.92700729927,137,100000,31,31,0.932709903921932
RP32_DENSE,RP32_DENSE_c0_early_t4,4,32,24,0.75,dense,7.0,early,0.15,2,3,9,False,,True,,11111.111111111111,9,100000,5,31,0.8375331939896569
RP32_DENSE,RP32_DENSE_c0_early_t5,5,32,24,0.75,dense,7.0,early,0.15,2,3,7,False,,True,,14285.714285714286,7,100000,5,31,0.8082733670016751
RP32_DENSE,RP32_DENSE_c0_early_t6,6,32,24,0.75,dense,7.0,early,0.15,2,3,7,False,,True,,14285.714285714286,7,100000,5,31,0.9012737270677462
RP32_DENSE,RP32_DENSE_c0_early_t7,7,32,24,0.75,dense,7.0,early,0.15,2,1,7,False,,True,,14285.714285714286,7,100000,4,31,0.9368725860258564
RP32_DENSE,RP32_DENSE_c0_early_t8,8,32,24,0.75,dense,7.0,early,0.15,2,1,6,False,,True,,16666.666666666668,6,100000,4,31,0.929090514080599
RP32_DENSE,RP32_DENSE_c0_early_t9,9,32,24,0.75,dense,7.0,early,0.15,2,3,7,False,,True,,14285.714285714286,7,100000,5,31,0.8738512409618124
RP32_DENSE,RP32_DENSE_c0_early_t10,10,32,24,0.75,dense,7.0,early,0.15,2,1,102,False,,True,,980.3921568627451,102,100000,31,31,0.8565773470327258
RP32_DENSE,RP32_DENSE_c0_early_t11,11,32,24,0.75,dense,7.0,early,0.15,2,1,7,False,,True,,14285.714285714286,7,100000,4,31,0.7704478011000901
RP32_DENSE,RP32_DENSE_c0_early_t12,12,32,24,0.75,dense,7.0,early,0.15,2,3,36,False,,True,,2777.777777777778,36,100000,31,31,0.9432701660552993
RP32_DENSE,RP32_DENSE_c0_early_t13,13,32,24,0.75,dense,7.0,early,0.15,2,1,6,False,,True,,16666.666666666668,6,100000,4,31,0.8737235669977963
RP32_DENSE,RP32_DENSE_c0_early_t14,14,32,24,0.75,dense,7.0,early,0.15,2,3,8,False,,True,,12500.0,8,100000,5,31,0.8876794419484213
RP32_DENSE,RP32_DENSE_c0_early_t15,15,32,24,0.75,dense,7.0,early,0.15,2,1,6,False,,True,,16666.666666666668,6,100000,4,31,0.854292539996095
RP32_DENSE,RP32_DENSE_c0_early_t16,16,32,24,0.75,dense,7.0,early,0.15,2,1,8,False,,True,,12500.0,8,100000,4,31,0.8084404279943556
RP32_DENSE,RP32_DENSE_c0_early_t17,17,32,24,0.75,dense,7.0,early,0.15,2,3,41,False,,True,,2439.0243902439024,41,100000,31,31,0.8715458209626377
RP32_DENSE,RP32_DENSE_c0_early_t18,18,32,24,0.75,dense,7.0,early,0.15,2,1,4,False,,True,,25000.0,4,100000,4,31,0.738849020912312
RP32_DENSE,RP32_DENSE_c0_early_t19,19,32,24,0.75,dense,7.0,early,0.15,2,1,7,False,,True,,14285.714285714286,7,100000,4,31,0.8631999059580266
RP32_DENSE,RP32_DENSE_c0_middle_t0,20,32,24,0.75,dense,7.0,middle,0.5,8,3,128,False,,True,,781.25,128,100000,31,31,0.7757550440728664
RP32_DENSE,RP32_DENSE_c0_middle_t1,21,32,24,0.75,dense,7.0,middle,0.5,8,3,21,False,,True,,4761.9047619047615,21,100000,17,31,0.7936456630704924
RP32_DENSE,RP32_DENSE_c0_middle_t2,22,32,24,0.75,dense,7.0,middle,0.5,8,1,2590,False,,True,,38.61003861003861,2590,100000,31,31,0.6700670580612496
RP32_DENSE,RP32_DENSE_c0_middle_t3,23,32,24,0.75,dense,7.0,middle,0.5,8,3,18,False,,True,,5555.555555555556,18,100000,17,31,0.9309421209618449
RP32_DENSE,RP32_DENSE_c0_middle_t4,24,32,24,0.75,dense,7.0,middle,0.5,8,3,92,False,,True,,1086.9565217391305,92,100000,31,31,0.8199888500384986
RP32_DENSE,RP32_DENSE_c0_middle_t5,25,32,24,0.75,dense,7.0,middle,0.5,8,3,18,False,,True,,5555.555555555556,18,100000,17,31,0.8595842139329761
RP32_DENSE,RP32_DENSE_c0_middle_t6,26,32,24,0.75,dense,7.0,middle,0.5,8,3,19,False,,True,,5263.1578947368425,19,100000,17,31,0.8262338240165263
RP32_DENSE,RP32_DENSE_c0_middle_t7,27,32,24,0.75,dense,7.0,middle,0.5,8,1,18,False,,True,,5555.555555555556,18,100000,16,31,0.7983058170648292
RP32_DENSE,RP32_DENSE_c0_middle_t8,28,32,24,0.75,dense,7.0,middle,0.5,8,3,19,False,,True,,5263.1578947368425,19,100000,17,31,0.7190164679195732
RP32_DENSE,RP32_DENSE_c0_middle_t9,29,32,24,0.75,dense,7.0,middle,0.5,8,1,17,False,,True,,5882.35294117647,17,100000,16,31,0.6877253879792988
RP32_DENSE,RP32_DENSE_c0_middle_t10,30,32,24,0.75,dense,7.0,middle,0.5,8,1,415,False,,True,,240.96385542168676,415,100000,31,31,0.8387561410199851
RP32_DENSE,RP32_DENSE_c0_middle_t11,31,32,24,0.75,dense,7.0,middle,0.5,8,3,18,False,,True,,5555.555555555556,18,100000,17,31,0.7963663820410147
RP32_DENSE,RP32_DENSE_c0_middle_t12,32,32,24,0.75,dense,7.0,middle,0.5,8,3,20,False,,True,,5000.0,20,100000,17,31,0.7892135289730504
RP32_DENSE,RP32_DENSE_c0_middle_t13,33,32,24,0.75,dense,7.0,middle,0.5,8,1,52,False,,True,,1923.076923076923,52,100000,31,31,0.7628825700376183
RP32_DENSE,RP32_DENSE_c0_middle_t14,34,32,24,0.75,dense,7.0,middle,0.5,8,1,18,False,,True,,5555.555555555556,18,100000,16,31,0.9784546659793705
RP32_DENSE,RP32_DENSE_c0_middle_t15,35,32,24,0.75,dense,7.0,middle,0.5,8,1,19,False,,True,,5263.1578947368425,19,100000,16,31,0.8089031659765169
RP32_DENSE,RP32_DENSE_c0_middle_t16,36,32,24,0.75,dense,7.0,middle,0.5,8,3,194,False,,True,,515.4639175257732,194,100000,31,31,0.9271632949821651
RP32_DENSE,RP32_DENSE_c0_middle_t17,37,32,24,0.75,dense,7.0,middle,0.5,8,3,20,False,,True,,5000.0,20,100000,17,31,0.849270481034182
RP32_DENSE,RP32_DENSE_c0_middle_t18,38,32,24,0.75,dense,7.0,middle,0.5,8,3,17,False,,True,,5882.35294117647,17,100000,17,31,0.9210788499331102
RP32_DENSE,RP32_DENSE_c0_middle_t19,39,32,24,0.75,dense,7.0,middle,0.5,8,3,20,False,,True,,5000.0,20,100000,17,31,0.7535154749639332
RP32_DENSE,RP32_DENSE_c0_late_t0,40,32,24,0.75,dense,7.0,late,0.85,14,1,73,False,272.0,False,3.7260273972602738,3.7260273972602738,73,272,31,31,0.0050414359429851174
RP32_DENSE,RP32_DENSE_c0_late_t1,41,32,24,0.75,dense,7.0,late,0.85,14,1,34,False,6115.0,False,179.85294117647058,179.85294117647058,34,6115,28,31,0.04137322201859206
RP32_DENSE,RP32_DENSE_c0_late_t2,42,32,24,0.75,dense,7.0,late,0.85,14,1,198,False,2828.0,False,14.282828282828282,14.282828282828282,198,2828,31,31,0.024426175048574805
RP32_DENSE,RP32_DENSE_c0_late_t3,43,32,24,0.75,dense,7.0,late,0.85,14,1,33,False,989.0,False,29.96969696969697,29.96969696969697,33,989,28,31,0.008455395931378007
RP32_DENSE,RP32_DENSE_c0_late_t4,44,32,24,0.75,dense,7.0,late,0.85,14,3,32,False,17.0,False,0.53125,0.53125,32,17,29,31,0.0019732379587367177
RP32_DENSE,RP32_DENSE_c0_late_t5,45,32,24,0.75,dense,7.0,late,0.85,14,1,30,False,265.0,False,8.833333333333334,8.833333333333334,30,265,28,31,0.0027509710052981973
RP32_DENSE,RP32_DENSE_c0_late_t6,46,32,24,0.75,dense,7.0,late,0.85,14,1,33,False,1089.0,False,33.0,33.0,33,1089,28,31,0.010149016976356506
RP32_DENSE,RP32_DENSE_c0_late_t7,47,32,24,0.75,dense,7.0,late,0.85,14,1,28,False,511.0,False,18.25,18.25,28,511,28,31,0.0040790330385789275
RP32_DENSE,RP32_DENSE_c0_late_t8,48,32,24,0.75,dense,7.0,late,0.85,14,3,31,False,88.0,False,2.838709677419355,2.838709677419355,31,88,29,31,0.0017989020561799407
RP32_DENSE,RP32_DENSE_c0_late_t9,49,32,24,0.75,dense,7.0,late,0.85,14,3,33,False,2719.0,False,82.39393939393939,82.39393939393939,33,2719,29,31,0.016648533986881375
RP32_DENSE,RP32_DENSE_c0_late_t10,50,32,24,0.75,dense,7.0,late,0.85,14,1,30,False,2460.0,False,82.0,82.0,30,2460,28,31,0.013918894925154746
RP32_DENSE,RP32_DENSE_c0_late_t11,51,32,24,0.75,dense,7.0,late,0.85,14,1,29,False,110.0,False,3.793103448275862,3.793103448275862,29,110,28,31,0.0019544430542737246
RP32_DENSE,RP32_DENSE_c0_late_t12,52,32,24,0.75,dense,7.0,late,0.85,14,3,260,False,649.0,False,2.496153846153846,2.496153846153846,260,649,31,31,0.0058637839974835515
RP32_DENSE,RP32_DENSE_c0_late_t13,53,32,24,0.75,dense,7.0,late,0.85,14,3,32,False,119.0,False,3.71875,3.71875,32,119,29,31,0.002103526028804481
RP32_DENSE,RP32_DENSE_c0_late_t14,54,32,24,0.75,dense,7.0,late,0.85,14,1,29,False,3079.0,False,106.17241379310344,106.17241379310344,29,3079,28,31,0.02266258606687188
RP32_DENSE,RP32_DENSE_c0_late_t15,55,32,24,0.75,dense,7.0,late,0.85,14,1,61,False,66.0,False,1.0819672131147542,1.0819672131147542,61,66,31,31,0.0024031579960137606
RP32_DENSE,RP32_DENSE_c0_late_t16,56,32,24,0.75,dense,7.0,late,0.85,14,1,35,False,14575.0,False,416.42857142857144,416.42857142857144,35,14575,28,31,0.10255854693241417
RP32_DENSE,RP32_DENSE_c0_late_t17,57,32,24,0.75,dense,7.0,late,0.85,14,1,31,False,2078.0,False,67.03225806451613,67.03225806451613,31,2078,28,31,0.012767771957442164
RP32_DENSE,RP32_DENSE_c0_late_t18,58,32,24,0.75,dense,7.0,late,0.85,14,3,29,False,935.0,False,32.241379310344826,32.241379310344826,29,935,29,31,0.00650855409912765
RP32_DENSE,RP32_DENSE_c0_late_t19,59,32,24,0.75,dense,7.0,late,0.85,14,3,30,False,185.0,False,6.166666666666667,6.166666666666667,30,185,29,31,0.002247640979476273
RP32_SPARSE,RP32_SPARSE_c0_early_t0,60,32,24,0.75,sparse,7.0,early,0.15,2,1,268,False,,True,,373.13432835820896,268,100000,31,31,0.8452778379432857
RP32_SPARSE,RP32_SPARSE_c0_early_t1,61,32,24,0.75,sparse,7.0,early,0.15,2,1,10,False,,True,,10000.0,10,100000,4,31,0.7458778569707647
RP32_SPARSE,RP32_SPARSE_c0_early_t2,62,32,24,0.75,sparse,7.0,early,0.15,2,3,7,False,,True,,14285.714285714286,7,100000,5,31,0.7629911679541692
RP32_SPARSE,RP32_SPARSE_c0_early_t3,63,32,24,0.75,sparse,7.0,early,0.15,2,3,10,False,,True,,10000.0,10,100000,5,31,0.8307046650443226
RP32_SPARSE,RP32_SPARSE_c0_early_t4,64,32,24,0.75,sparse,7.0,early,0.15,2,3,6,False,,True,,16666.666666666668,6,100000,5,31,0.7869429689599201
RP32_SPARSE,RP32_SPARSE_c0_early_t5,65,32,24,0.75,sparse,7.0,early,0.15,2,3,8,False,,True,,12500.0,8,100000,5,31,0.8621576708974317
RP32_SPARSE,RP32_SPARSE_c0_early_t6,66,32,24,0.75,sparse,7.0,early,0.15,2,1,4,False,,True,,25000.0,4,100000,4,31,0.7972469819942489
RP32_SPARSE,RP32_SPARSE_c0_early_t7,67,32,24,0.75,sparse,7.0,early,0.15,2,1,37,False,,True,,2702.7027027027025,37,100000,31,31,0.8963936950312927
RP32_SPARSE,RP32_SPARSE_c0_early_t8,68,32,24,0.75,sparse,7.0,early,0.15,2,1,5,False,,True,,20000.0,5,100000,4,31,0.7990895410766825
RP32_SPARSE,RP32_SPARSE_c0_early_t9,69,32,24,0.75,sparse,7.0,early,0.15,2,1,245,False,,True,,408.16326530612247,245,100000,31,31,0.9102633009897545
RP32_SPARSE,RP32_SPARSE_c0_early_t10,70,32,24,0.75,sparse,7.0,early,0.15,2,1,7,False,,True,,14285.714285714286,7,100000,4,31,0.7721509810071439
RP32_SPARSE,RP32_SPARSE_c0_early_t11,71,32,24,0.75,sparse,7.0,early,0.15,2,1,8,False,,True,,12500.0,8,100000,4,31,0.8989457379793748
RP32_SPARSE,RP32_SPARSE_c0_early_t12,72,32,24,0.75,sparse,7.0,early,0.15,2,1,4,False,,True,,25000.0,4,100000,4,31,0.7059051869437099
RP32_SPARSE,RP32_SPARSE_c0_early_t13,73,32,24,0.75,sparse,7.0,early,0.15,2,3,6,False,,True,,16666.666666666668,6,100000,5,31,0.7279027129989117
RP32_SPARSE,RP32_SPARSE_c0_early_t14,74,32,24,0.75,sparse,7.0,early,0.15,2,1,4,False,,True,,25000.0,4,100000,4,31,0.8723819289589301
RP32_SPARSE,RP32_SPARSE_c0_early_t15,75,32,24,0.75,sparse,7.0,early,0.15,2,1,5,False,,True,,20000.0,5,100000,4,31,0.7762060010572895
RP32_SPARSE,RP32_SPARSE_c0_early_t16,76,32,24,0.75,sparse,7.0,early,0.15,2,1,4,False,,True,,25000.0,4,100000,4,31,0.8457224159501493
RP32_SPARSE,RP32_SPARSE_c0_early_t17,77,32,24,0.75,sparse,7.0,early,0.15,2,1,5,False,,True,,20000.0,5,100000,4,31,0.7745451299706474
RP32_SPARSE,RP32_SPARSE_c0_early_t18,78,32,24,0.75,sparse,7.0,early,0.15,2,1,74,False,,True,,1351.3513513513512,74,100000,31,31,0.9086925940355286
RP32_SPARSE,RP32_SPARSE_c0_early_t19,79,32,24,0.75,sparse,7.0,early,0.15,2,3,5,False,,True,,20000.0,5,100000,5,31,0.8069124409230426
RP32_SPARSE,RP32_SPARSE_c0_middle_t0,80,32,24,0.75,sparse,7.0,middle,0.5,8,1,20,False,,True,,5000.0,20,100000,16,31,0.8567073430167511
RP32_SPARSE,RP32_SPARSE_c0_middle_t1,81,32,24,0.75,sparse,7.0,middle,0.5,8,1,19,False,,True,,5263.1578947368425,19,100000,16,31,0.8075717960018665
RP32_SPARSE,RP32_SPARSE_c0_middle_t2,82,32,24,0.75,sparse,7.0,middle,0.5,8,1,19,False,,True,,5263.1578947368425,19,100000,16,31,0.8690609449986368
RP32_SPARSE,RP32_SPARSE_c0_middle_t3,83,32,24,0.75,sparse,7.0,middle,0.5,8,1,18,False,,True,,5555.555555555556,18,100000,16,31,0.8514399649575353
RP32_SPARSE,RP32_SPARSE_c0_middle_t4,84,32,24,0.75,sparse,7.0,middle,0.5,8,3,171,False,,True,,584.7953216374269,171,100000,31,31,0.9735863730311394
RP32_SPARSE,RP32_SPARSE_c0_middle_t5,85,32,24,0.75,sparse,7.0,middle,0.5,8,1,17,False,,True,,5882.35294117647,17,100000,16,31,0.753306234953925
RP32_SPARSE,RP32_SPARSE_c0_middle_t6,86,32,24,0.75,sparse,7.0,middle,0.5,8,3,17,False,,True,,5882.35294117647,17,100000,17,31,0.7987919659353793
RP32_SPARSE,RP32_SPARSE_c0_middle_t7,87,32,24,0.75,sparse,7.0,middle,0.5,8,3,21,False,,True,,4761.9047619047615,21,100000,17,31,0.8544237810419872
RP32_SPARSE,RP32_SPARSE_c0_middle_t8,88,32,24,0.75,sparse,7.0,middle,0.5,8,3,17,False,,True,,5882.35294117647,17,100000,17,31,0.7198904850520194
RP32_SPARSE,RP32_SPARSE_c0_middle_t9,89,32,24,0.75,sparse,7.0,middle,0.5,8,3,226,False,,True,,442.4778761061947,226,100000,31,31,0.8761598340934142
RP32_SPARSE,RP32_SPARSE_c0_middle_t10,90,32,24,0.75,sparse,7.0,middle,0.5,8,3,18,False,,True,,5555.555555555556,18,100000,17,31,0.8136409060098231
RP32_SPARSE,RP32_SPARSE_c0_middle_t11,91,32,24,0.75,sparse,7.0,middle,0.5,8,1,21,False,,True,,4761.9047619047615,21,100000,16,31,0.7760062479646876
RP32_SPARSE,RP32_SPARSE_c0_middle_t12,92,32,24,0.75,sparse,7.0,middle,0.5,8,3,19,False,,True,,5263.1578947368425,19,100000,17,31,0.7738171940436587
RP32_SPARSE,RP32_SPARSE_c0_middle_t13,93,32,24,0.75,sparse,7.0,middle,0.5,8,1,54,False,,True,,1851.851851851852,54,100000,31,31,0.8734157949220389
RP32_SPARSE,RP32_SPARSE_c0_middle_t14,94,32,24,0.75,sparse,7.0,middle,0.5,8,1,53,False,,True,,1886.7924528301887,53,100000,31,31,0.8214211999438703
RP32_SPARSE,RP32_SPARSE_c0_middle_t15,95,32,24,0.75,sparse,7.0,middle,0.5,8,3,20,False,,True,,5000.0,20,100000,17,31,0.9236538399709389
RP32_SPARSE,RP32_SPARSE_c0_middle_t16,96,32,24,0.75,sparse,7.0,middle,0.5,8,3,52,False,,True,,1923.076923076923,52,100000,31,31,0.8151663029566407
RP32_SPARSE,RP32_SPARSE_c0_middle_t17,97,32,24,0.75,sparse,7.0,middle,0.5,8,1,21,False,,True,,4761.9047619047615,21,100000,16,31,0.763718276983127
RP32_SPARSE,RP32_SPARSE_c0_middle_t18,98,32,24,0.75,sparse,7.0,middle,0.5,8,3,19,False,,True,,5263.1578947368425,19,100000,17,31,0.7721517900936306
RP32_SPARSE,RP32_SPARSE_c0_middle_t19,99,32,24,0.75,sparse,7.0,middle,0.5,8,1,49,False,,True,,2040.8163265306123,49,100000,31,31,0.7732254950096831
RP32_SPARSE,RP32_SPARSE_c0_late_t0,100,32,24,0.75,sparse,7.0,late,0.85,14,1,31,False,635.0,False,20.483870967741936,20.483870967741936,31,635,28,31,0.005884194979444146
RP32_SPARSE,RP32_SPARSE_c0_late_t1,101,32,24,0.75,sparse,7.0,late,0.85,14,3,207,False,489.0,False,2.36231884057971,2.36231884057971,207,489,31,31,0.0064633049769327044
RP32_SPARSE,RP32_SPARSE_c0_late_t2,102,32,24,0.75,sparse,7.0,late,0.85,14,3,258,False,11503.0,False,44.58527131782946,44.58527131782946,258,11503,31,31,0.07783463399391621
RP32_SPARSE,RP32_SPARSE_c0_late_t3,103,32,24,0.75,sparse,7.0,late,0.85,14,1,35,False,201.0,False,5.742857142857143,5.742857142857143,35,201,28,31,0.002575331018306315
