experiment,config_id,trial_uid,n,k,rate,family,snr_db,transmitted_int,decoder,decoded_int,decoded_correct,true_slip_prob,model_slip_prob,forced_location_fraction,two_slip_fraction,assumed_noise_offset_db,true_state_label,model_contains_true_path,state_hypothesis_count,code_replicate,trial_index,success,certified,certificate_margin_log,stop_reason,membership_queries,residual_patterns_generated,latent_hypotheses_available,latent_queues_touched,valid_witnesses,unique_codewords_seen,complete_marginal_scores,state_codeword_likelihoods,cap_hit,wall_seconds,winner_partial_logscore,oracle_first_seen_query,certificate_query_overhead,queue_touch_fraction
mismatch,M32_DENSE_PRIOR_LOW,M32_DENSE_PRIOR_LOW_c0_t0,32,24,0.75,dense,7.0,1333546670,lsgrand_certified,1333546670,True,0.8,0.2,0.25,0.0,0.0,slip_4_3,True,31,0,0,True,True,0.3126156013197203,strict_unseen_codeword_certificate,64,64,31,31,1,1,0,64,False,0.0011385839898139238,-14.3117070324491,11.0,5.818181818181818,1.0
mismatch,M32_DENSE_PRIOR_LOW,M32_DENSE_PRIOR_LOW_c0_t0,32,24,0.75,dense,7.0,1333546670,lsgrand_first_valid,1333546670,True,0.8,0.2,0.25,0.0,0.0,slip_4_3,True,31,0,0,True,False,,first_valid_witness,11,11,31,9,1,1,0,11,False,0.0007058889605104923,-14.3117070324491,,,0.2903225806451613
mismatch,M32_DENSE_PRIOR_LOW,M32_DENSE_PRIOR_LOW_c0_t0,32,24,0.75,dense,7.0,1333546670,per_state_grand_sweep,1333546670,True,0.8,0.2,0.25,0.0,0.0,slip_4_3,True,31,0,0,True,False,,best_fixed_state_codeword,6627,6627,31,31,21,17,0,6627,True,0.03541675698943436,-14.3117070324491,,,1.0
mismatch,M32_DENSE_PRIOR_LOW,M32_DENSE_PRIOR_LOW_c0_t0,32,24,0.75,dense,7.0,1333546670,plain_reliability_grand,3484014728,False,0.8,0.2,0.25,0.0,0.0,slip_4_3,True,31,0,0,True,False,,first_valid_witness,428,428,1,1,1,1,0,428,False,0.002380387973971665,-31.29927061510856,,,1.0
mismatch,M32_DENSE_PRIOR_LOW,M32_DENSE_PRIOR_LOW_c0_t0,32,24,0.75,dense,7.0,1333546670,latent_osd_order2,1333546670,True,0.8,0.2,0.25,0.0,0.0,slip_4_3,True,31,0,0,True,False,,best_complete_marginal_score_in_osd_list,0,0,31,16,1295,971,971,30101,False,0.33639516902621835,-14.311626143473786,,,0.5161290322580645
mismatch,M32_DENSE_PRIOR_LOW,M32_DENSE_PRIOR_LOW_c0_t1,32,24,0.75,dense,7.0,3962861839,lsgrand_certified,3975144258,False,0.8,0.2,0.25,0.0,0.0,slip_4_3,True,31,0,1,True,True,0.08831405586838414,strict_unseen_codeword_certificate,192,192,31,31,2,2,0,192,False,0.0021700550569221377,-16.79567923026031,12.0,16.0,1.0
mismatch,M32_DENSE_PRIOR_LOW,M32_DENSE_PRIOR_LOW_c0_t1,32,24,0.75,dense,7.0,3962861839,lsgrand_first_valid,3975144258,False,0.8,0.2,0.25,0.0,0.0,slip_4_3,True,31,0,1,True,False,,first_valid_witness,12,12,31,1,1,1,0,12,False,0.0006840780843049288,-16.79567923026031,,,0.03225806451612903
mismatch,M32_DENSE_PRIOR_LOW,M32_DENSE_PRIOR_LOW_c0_t1,32,24,0.75,dense,7.0,3962861839,per_state_grand_sweep,3975144258,False,0.8,0.2,0.25,0.0,0.0,slip_4_3,True,31,0,1,True,False,,best_fixed_state_codeword,4737,4737,31,31,28,22,0,4737,True,0.025840718997642398,-16.79567923026031,,,1.0
mismatch,M32_DENSE_PRIOR_LOW,M32_DENSE_PRIOR_LOW_c0_t1,32,24,0.75,dense,7.0,3962861839,plain_reliability_grand,3975144258,False,0.8,0.2,0.25,0.0,0.0,slip_4_3,True,31,0,1,True,False,,first_valid_witness,12,12,1,1,1,1,0,12,False,0.00011322903446853161,-16.5725356789461,,,1.0
mismatch,M32_DENSE_PRIOR_LOW,M32_DENSE_PRIOR_LOW_c0_t1,32,24,0.75,dense,7.0,3962861839,latent_osd_order2,3975144258,False,0.8,0.2,0.25,0.0,0.0,slip_4_3,True,31,0,1,True,False,,best_complete_marginal_score_in_osd_list,0,0,31,16,1295,948,948,29388,False,0.28530785301700234,-16.79567694681197,,,0.5161290322580645
