case_id,family,n,k,rate,location_label,location_fraction,trials,median_apparent_error_fraction,median_hard_grand_log2_rank_lower_bound,median_latent_family_log2_size,median_log2_coordinate_separation_lower_bound,min_log2_coordinate_separation_lower_bound
R128_SPARSE,sparse,128,112,0.875,early,0.15,60,0.421875,123.0116967458599,6.9886846867721655,116.02301205908773,116.02301205908773
R128_SPARSE,sparse,128,112,0.875,late,0.85,60,0.078125,44.227193307148205,6.9886846867721655,37.23850862037604,37.23850862037604
R128_SPARSE,sparse,128,112,0.875,middle,0.5,60,0.25,99.15784121278124,6.9886846867721655,92.16915652600908,92.16915652600908
R256_SPARSE,sparse,256,224,0.875,early,0.15,30,0.42578125,248.90491075182834,7.994353436858858,240.91055731496948,240.91055731496948
R256_SPARSE,sparse,256,224,0.875,late,0.85,30,0.07421875,90.72229010238235,7.994353436858858,82.72793666552349,82.72793666552349
R256_SPARSE,sparse,256,224,0.875,middle,0.5,30,0.25,202.5342308451927,7.994353436858858,194.53987740833384,194.53987740833384
R32_DENSE,dense,32,24,0.75,early,0.15,60,0.4375,29.59296391564245,4.954196310386875,24.638767605255573,24.638767605255573
R32_DENSE,dense,32,24,0.75,late,0.85,60,0.0625,5.044394119358446,4.954196310386875,0.09019780897157137,0.09019780897157137
R32_DENSE,dense,32,24,0.75,middle,0.5,60,0.25,22.106253975668807,4.954196310386875,17.15205766528193,17.15205766528193
R64_DENSE,dense,64,56,0.875,early,0.15,60,0.421875,60.432043584004084,5.977279923499917,54.45476366050417,54.45476366050417
R64_DENSE,dense,64,56,0.875,late,0.85,60,0.078125,19.373309118932838,5.977279923499917,13.39602919543292,13.39602919543292
R64_DENSE,dense,64,56,0.875,middle,0.5,60,0.25,47.675144414876385,5.977279923499917,41.69786449137647,41.69786449137647
