n,symbols,apparent_hamming_weight,apparent_error_fraction,hard_grand_log2_rank_lower_bound,latent_family_size,latent_family_log2_size,log2_coordinate_separation_lower_bound,case_id,family,k,rate,code_replicate,trial_id,location_label,location_fraction,tau,direction
32,16,14,0.4375,29.59296391564245,31,4.954196310386875,24.638767605255573,R32_DENSE,dense,24,0.75,0,0,early,0.15,2,3
32,16,14,0.4375,29.59296391564245,31,4.954196310386875,24.638767605255573,R32_DENSE,dense,24,0.75,0,1,early,0.15,2,3
32,16,14,0.4375,29.59296391564245,31,4.954196310386875,24.638767605255573,R32_DENSE,dense,24,0.75,0,2,early,0.15,2,1
32,16,14,0.4375,29.59296391564245,31,4.954196310386875,24.638767605255573,R32_DENSE,dense,24,0.75,0,3,early,0.15,2,1
32,16,14,0.4375,29.59296391564245,31,4.954196310386875,24.638767605255573,R32_DENSE,dense,24,0.75,0,4,early,0.15,2,1
32,16,14,0.4375,29.59296391564245,31,4.954196310386875,24.638767605255573,R32_DENSE,dense,24,0.75,0,5,early,0.15,2,1
32,16,14,0.4375,29.59296391564245,31,4.954196310386875,24.638767605255573,R32_DENSE,dense,24,0.75,0,6,early,0.15,2,1
32,16,14,0.4375,29.59296391564245,31,4.954196310386875,24.638767605255573,R32_DENSE,dense,24,0.75,0,7,early,0.15,2,1
32,16,14,0.4375,29.59296391564245,31,4.954196310386875,24.638767605255573,R32_DENSE,dense,24,0.75,0,8,early,0.15,2,1
32,16,14,0.4375,29.59296391564245,31,4.954196310386875,24.638767605255573,R32_DENSE,dense,24,0.75,0,9,early,0.15,2,3
32,16,14,0.4375,29.59296391564245,31,4.954196310386875,24.638767605255573,R32_DENSE,dense,24,0.75,0,10,early,0.15,2,3
32,16,14,0.4375,29.59296391564245,31,4.954196310386875,24.638767605255573,R32_DENSE,dense,24,0.75,0,11,early,0.15,2,1
32,16,14,0.4375,29.59296391564245,31,4.954196310386875,24.638767605255573,R32_DENSE,dense,24,0.75,0,12,early,0.15,2,3
32,16,14,0.4375,29.59296391564245,31,4.954196310386875,24.638767605255573,R32_DENSE,dense,24,0.75,0,13,early,0.15,2,1
32,16,14,0.4375,29.59296391564245,31,4.954196310386875,24.638767605255573,R32_DENSE,dense,24,0.75,0,14,early,0.15,2,3
32,16,14,0.4375,29.59296391564245,31,4.954196310386875,24.638767605255573,R32_DENSE,dense,24,0.75,0,15,early,0.15,2,1
32,16,14,0.4375,29.59296391564245,31,4.954196310386875,24.638767605255573,R32_DENSE,dense,24,0.75,0,16,early,0.15,2,3
32,16,14,0.4375,29.59296391564245,31,4.954196310386875,24.638767605255573,R32_DENSE,dense,24,0.75,0,17,early,0.15,2,1
32,16,14,0.4375,29.59296391564245,31,4.954196310386875,24.638767605255573,R32_DENSE,dense,24,0.75,0,18,early,0.15,2,1
32,16,14,0.4375,29.59296391564245,31,4.954196310386875,24.638767605255573,R32_DENSE,dense,24,0.75,0,19,early,0.15,2,3
32,16,2,0.0625,5.044394119358446,31,4.954196310386875,0.09019780897157137,R32_DENSE,dense,24,0.75,0,20,late,0.85,14,1
32,16,2,0.0625,5.044394119358446,31,4.954196310386875,0.09019780897157137,R32_DENSE,dense,24,0.75,0,21,late,0.85,14,3
32,16,2,0.0625,5.044394119358446,31,4.954196310386875,0.09019780897157137,R32_DENSE,dense,24,0.75,0,22,late,0.85,14,3
32,16,2,0.0625,5.044394119358446,31,4.954196310386875,0.09019780897157137,R32_DENSE,dense,24,0.75,0,23,late,0.85,14,1
32,16,2,0.0625,5.044394119358446,31,4.954196310386875,0.09019780897157137,R32_DENSE,dense,24,0.75,0,24,late,0.85,14,1
32,16,2,0.0625,5.044394119358446,31,4.954196310386875,0.09019780897157137,R32_DENSE,dense,24,0.75,0,25,late,0.85,14,3
32,16,2,0.0625,5.044394119358446,31,4.954196310386875,0.09019780897157137,R32_DENSE,dense,24,0.75,0,26,late,0.85,14,3
32,16,2,0.0625,5.044394119358446,31,4.954196310386875,0.09019780897157137,R32_DENSE,dense,24,0.75,0,27,late,0.85,14,3
32,16,2,0.0625,5.044394119358446,31,4.954196310386875,0.09019780897157137,R32_DENSE,dense,24,0.75,0,28,late,0.85,14,1
32,16,2,0.0625,5.044394119358446,31,4.954196310386875,0.09019780897157137,R32_DENSE,dense,24,0.75,0,29,late,0.85,14,3
32,16,2,0.0625,5.044394119358446,31,4.954196310386875,0.09019780897157137,R32_DENSE,dense,24,0.75,0,30,late,0.85,14,3
32,16,2,0.0625,5.044394119358446,31,4.954196310386875,0.09019780897157137,R32_DENSE,dense,24,0.75,0,31,late,0.85,14,1
32,16,2,0.0625,5.044394119358446,31,4.954196310386875,0.09019780897157137,R32_DENSE,dense,24,0.75,0,32,late,0.85,14,3
32,16,2,0.0625,5.044394119358446,31,4.954196310386875,0.09019780897157137,R32_DENSE,dense,24,0.75,0,33,late,0.85,14,1
32,16,2,0.0625,5.044394119358446,31,4.954196310386875,0.09019780897157137,R32_DENSE,dense,24,0.75,0,34,late,0.85,14,3
32,16,2,0.0625,5.044394119358446,31,4.954196310386875,0.09019780897157137,R32_DENSE,dense,24,0.75,0,35,late,0.85,14,1
32,16,2,0.0625,5.044394119358446,31,4.954196310386875,0.09019780897157137,R32_DENSE,dense,24,0.75,0,36,late,0.85,14,3
32,16,2,0.0625,5.044394119358446,31,4.954196310386875,0.09019780897157137,R32_DENSE,dense,24,0.75,0,37,late,0.85,14,1
32,16,2,0.0625,5.044394119358446,31,4.954196310386875,0.09019780897157137,R32_DENSE,dense,24,0.75,0,38,late,0.85,14,3
