decoder,decoded_int,success,cap_hit,stop_reason,alarm,trigger_metric,components_generated,membership_queries,latent_hypotheses_available,latent_queues_touched,valid_witnesses,unique_candidates,complete_marginal_candidates,state_word_metric_evals,bit_metric_accumulations,osd_reprocessings,bch_decode_attempts,preprocessing_state_metrics,wall_seconds,first_component_gap,queue_touch_fraction,frame_uid,code_id,family,n,k,rate,condition,snr_db,true_label,transmitted_int,decoded_correct,trigger_threshold
normal_code_decoder,1.2405329946986902e+19,True,False,best_marginal_chase_candidate,False,,22,0,1,1,4,4,4,4,256,0,22,1,0.01097074500285089,,1.0,BCH64_45_no_slip_t0,BCH64_45,extended_bch,64,45,0.703125,no_slip,8.0,no_slip,12405329946986901017,True,1.6668146288795762
event_ls_first,1.2405329946986902e+19,True,False,no_alarm_accept_no_slip,False,1.0934171128340726,22,0,1,1,4,4,4,4,256,0,22,1,0.011041985941119492,,1.0,BCH64_45_no_slip_t0,BCH64_45,extended_bch,64,45,0.703125,no_slip,8.0,no_slip,12405329946986901017,True,1.6668146288795762
event_ls_adaptive_l2,1.2405329946986902e+19,True,False,no_alarm_accept_no_slip,False,1.0934171128340726,22,0,1,1,4,4,4,4,256,0,22,1,0.011041985941119492,,1.0,BCH64_45_no_slip_t0,BCH64_45,extended_bch,64,45,0.703125,no_slip,8.0,no_slip,12405329946986901017,True,1.6668146288795762
event_state_sweep_osd,1.2405329946986902e+19,True,False,no_alarm_accept_no_slip,False,1.0934171128340726,22,0,1,1,4,4,4,4,256,0,22,1,0.011041985941119492,,1.0,BCH64_45_no_slip_t0,BCH64_45,extended_bch,64,45,0.703125,no_slip,8.0,no_slip,12405329946986901017,True,1.6668146288795762
event_state_sweep_chase_bch,1.2405329946986902e+19,True,False,no_alarm_accept_no_slip,False,1.0934171128340726,22,0,1,1,4,4,4,4,256,0,22,1,0.011041985941119492,,1.0,BCH64_45_no_slip_t0,BCH64_45,extended_bch,64,45,0.703125,no_slip,8.0,no_slip,12405329946986901017,True,1.6668146288795762
normal_code_decoder,5.169367383462593e+18,True,False,best_marginal_chase_candidate,False,,22,0,1,1,1,1,1,1,64,0,22,1,0.009545187000185251,,1.0,BCH64_45_no_slip_t1,BCH64_45,extended_bch,64,45,0.703125,no_slip,8.0,no_slip,5169367383462592863,True,1.6668146288795762
event_ls_first,5.169367383462593e+18,True,False,no_alarm_accept_no_slip,False,0.917595369862351,22,0,1,1,1,1,1,1,64,0,22,1,0.009645748999901116,,1.0,BCH64_45_no_slip_t1,BCH64_45,extended_bch,64,45,0.703125,no_slip,8.0,no_slip,5169367383462592863,True,1.6668146288795762
event_ls_adaptive_l2,5.169367383462593e+18,True,False,no_alarm_accept_no_slip,False,0.917595369862351,22,0,1,1,1,1,1,1,64,0,22,1,0.009645748999901116,,1.0,BCH64_45_no_slip_t1,BCH64_45,extended_bch,64,45,0.703125,no_slip,8.0,no_slip,5169367383462592863,True,1.6668146288795762
event_state_sweep_osd,5.169367383462593e+18,True,False,no_alarm_accept_no_slip,False,0.917595369862351,22,0,1,1,1,1,1,1,64,0,22,1,0.009645748999901116,,1.0,BCH64_45_no_slip_t1,BCH64_45,extended_bch,64,45,0.703125,no_slip,8.0,no_slip,5169367383462592863,True,1.6668146288795762
event_state_sweep_chase_bch,5.169367383462593e+18,True,False,no_alarm_accept_no_slip,False,0.917595369862351,22,0,1,1,1,1,1,1,64,0,22,1,0.009645748999901116,,1.0,BCH64_45_no_slip_t1,BCH64_45,extended_bch,64,45,0.703125,no_slip,8.0,no_slip,5169367383462592863,True,1.6668146288795762
normal_code_decoder,6.875307666234094e+18,True,False,best_marginal_chase_candidate,False,,22,0,1,1,1,1,1,1,64,0,22,1,0.00834675901569426,,1.0,BCH64_45_no_slip_t2,BCH64_45,extended_bch,64,45,0.703125,no_slip,8.0,no_slip,6875307666234093107,True,1.6668146288795762
event_ls_first,6.875307666234094e+18,True,False,no_alarm_accept_no_slip,False,0.9443714260504609,22,0,1,1,1,1,1,1,64,0,22,1,0.008386841975152493,,1.0,BCH64_45_no_slip_t2,BCH64_45,extended_bch,64,45,0.703125,no_slip,8.0,no_slip,6875307666234093107,True,1.6668146288795762
event_ls_adaptive_l2,6.875307666234094e+18,True,False,no_alarm_accept_no_slip,False,0.9443714260504609,22,0,1,1,1,1,1,1,64,0,22,1,0.008386841975152493,,1.0,BCH64_45_no_slip_t2,BCH64_45,extended_bch,64,45,0.703125,no_slip,8.0,no_slip,6875307666234093107,True,1.6668146288795762
event_state_sweep_osd,6.875307666234094e+18,True,False,no_alarm_accept_no_slip,False,0.9443714260504609,22,0,1,1,1,1,1,1,64,0,22,1,0.008386841975152493,,1.0,BCH64_45_no_slip_t2,BCH64_45,extended_bch,64,45,0.703125,no_slip,8.0,no_slip,6875307666234093107,True,1.6668146288795762
event_state_sweep_chase_bch,6.875307666234094e+18,True,False,no_alarm_accept_no_slip,False,0.9443714260504609,22,0,1,1,1,1,1,1,64,0,22,1,0.008386841975152493,,1.0,BCH64_45_no_slip_t2,BCH64_45,extended_bch,64,45,0.703125,no_slip,8.0,no_slip,6875307666234093107,True,1.6668146288795762
normal_code_decoder,1.6879480196458076e+19,True,False,best_marginal_chase_candidate,False,,22,0,1,1,1,1,1,1,64,0,22,1,0.011330516077578068,,1.0,BCH64_45_no_slip_t3,BCH64_45,extended_bch,64,45,0.703125,no_slip,8.0,no_slip,16879480196458076599,True,1.6668146288795762
event_ls_first,1.6879480196458076e+19,True,False,no_alarm_accept_no_slip,False,1.2338685622944583,22,0,1,1,1,1,1,1,64,0,22,1,0.011401380063034594,,1.0,BCH64_45_no_slip_t3,BCH64_45,extended_bch,64,45,0.703125,no_slip,8.0,no_slip,16879480196458076599,True,1.6668146288795762
event_ls_adaptive_l2,1.6879480196458076e+19,True,False,no_alarm_accept_no_slip,False,1.2338685622944583,22,0,1,1,1,1,1,1,64,0,22,1,0.011401380063034594,,1.0,BCH64_45_no_slip_t3,BCH64_45,extended_bch,64,45,0.703125,no_slip,8.0,no_slip,16879480196458076599,True,1.6668146288795762
event_state_sweep_osd,1.6879480196458076e+19,True,False,no_alarm_accept_no_slip,False,1.2338685622944583,22,0,1,1,1,1,1,1,64,0,22,1,0.011401380063034594,,1.0,BCH64_45_no_slip_t3,BCH64_45,extended_bch,64,45,0.703125,no_slip,8.0,no_slip,16879480196458076599,True,1.6668146288795762
event_state_sweep_chase_bch,1.6879480196458076e+19,True,False,no_alarm_accept_no_slip,False,1.2338685622944583,22,0,1,1,1,1,1,1,64,0,22,1,0.011401380063034594,,1.0,BCH64_45_no_slip_t3,BCH64_45,extended_bch,64,45,0.703125,no_slip,8.0,no_slip,16879480196458076599,True,1.6668146288795762
normal_code_decoder,1.2385542027363856e+19,True,False,best_marginal_chase_candidate,False,,22,0,1,1,1,1,1,1,64,0,22,1,0.008346895920112729,,1.0,BCH64_45_no_slip_t4,BCH64_45,extended_bch,64,45,0.703125,no_slip,8.0,no_slip,12385542027363856447,True,1.6668146288795762
event_ls_first,1.2385542027363856e+19,True,False,no_alarm_accept_no_slip,False,0.8791903705766754,22,0,1,1,1,1,1,1,64,0,22,1,0.008377899997867644,,1.0,BCH64_45_no_slip_t4,BCH64_45,extended_bch,64,45,0.703125,no_slip,8.0,no_slip,12385542027363856447,True,1.6668146288795762
event_ls_adaptive_l2,1.2385542027363856e+19,True,False,no_alarm_accept_no_slip,False,0.8791903705766754,22,0,1,1,1,1,1,1,64,0,22,1,0.008377899997867644,,1.0,BCH64_45_no_slip_t4,BCH64_45,extended_bch,64,45,0.703125,no_slip,8.0,no_slip,12385542027363856447,True,1.6668146288795762
event_state_sweep_osd,1.2385542027363856e+19,True,False,no_alarm_accept_no_slip,False,0.8791903705766754,22,0,1,1,1,1,1,1,64,0,22,1,0.008377899997867644,,1.0,BCH64_45_no_slip_t4,BCH64_45,extended_bch,64,45,0.703125,no_slip,8.0,no_slip,12385542027363856447,True,1.6668146288795762
event_state_sweep_chase_bch,1.2385542027363856e+19,True,False,no_alarm_accept_no_slip,False,0.8791903705766754,22,0,1,1,1,1,1,1,64,0,22,1,0.008377899997867644,,1.0,BCH64_45_no_slip_t4,BCH64_45,extended_bch,64,45,0.703125,no_slip,8.0,no_slip,12385542027363856447,True,1.6668146288795762
normal_code_decoder,6.488453121682579e+18,True,False,best_marginal_chase_candidate,False,,22,0,1,1,1,1,1,1,64,0,22,1,0.007747438037768006,,1.0,BCH64_45_no_slip_t5,BCH64_45,extended_bch,64,45,0.703125,no_slip,8.0,no_slip,6488453121682579087,True,1.6668146288795762
event_ls_first,6.488453121682579e+18,True,False,no_alarm_accept_no_slip,False,0.9202152998373464,22,0,1,1,1,1,1,1,64,0,22,1,0.007812397088855505,,1.0,BCH64_45_no_slip_t5,BCH64_45,extended_bch,64,45,0.703125,no_slip,8.0,no_slip,6488453121682579087,True,1.6668146288795762
event_ls_adaptive_l2,6.488453121682579e+18,True,False,no_alarm_accept_no_slip,False,0.9202152998373464,22,0,1,1,1,1,1,1,64,0,22,1,0.007812397088855505,,1.0,BCH64_45_no_slip_t5,BCH64_45,extended_bch,64,45,0.703125,no_slip,8.0,no_slip,6488453121682579087,True,1.6668146288795762
event_state_sweep_osd,6.488453121682579e+18,True,False,no_alarm_accept_no_slip,False,0.9202152998373464,22,0,1,1,1,1,1,1,64,0,22,1,0.007812397088855505,,1.0,BCH64_45_no_slip_t5,BCH64_45,extended_bch,64,45,0.703125,no_slip,8.0,no_slip,6488453121682579087,True,1.6668146288795762
event_state_sweep_chase_bch,6.488453121682579e+18,True,False,no_alarm_accept_no_slip,False,0.9202152998373464,22,0,1,1,1,1,1,1,64,0,22,1,0.007812397088855505,,1.0,BCH64_45_no_slip_t5,BCH64_45,extended_bch,64,45,0.703125,no_slip,8.0,no_slip,6488453121682579087,True,1.6668146288795762
normal_code_decoder,8.314403898893019e+18,True,False,best_marginal_chase_candidate,False,,22,0,1,1,1,1,1,1,64,0,22,1,0.0065034040017053485,,1.0,BCH64_45_no_slip_t6,BCH64_45,extended_bch,64,45,0.703125,no_slip,8.0,no_slip,8314403898893019569,True,1.6668146288795762
event_ls_first,8.314403898893019e+18,True,False,no_alarm_accept_no_slip,False,1.0078674350312047,22,0,1,1,1,1,1,1,64,0,22,1,0.006536528933793306,,1.0,BCH64_45_no_slip_t6,BCH64_45,extended_bch,64,45,0.703125,no_slip,8.0,no_slip,8314403898893019569,True,1.6668146288795762
