code_id,family,n,k,rate,condition,decoder,total_transmitted_symbols,trials,errors,bler,bler_low,bler_high,alarm_rate,cap_rate,success_rate,net_information_bits_per_symbol,median_components_generated,p90_components_generated,p99_components_generated,mean_components_generated,median_membership_queries,p90_membership_queries,p99_membership_queries,mean_membership_queries,median_latent_queues_touched,p90_latent_queues_touched,p99_latent_queues_touched,mean_latent_queues_touched,median_queue_touch_fraction,p90_queue_touch_fraction,p99_queue_touch_fraction,mean_queue_touch_fraction,median_valid_witnesses,p90_valid_witnesses,p99_valid_witnesses,mean_valid_witnesses,median_unique_candidates,p90_unique_candidates,p99_unique_candidates,mean_unique_candidates,median_complete_marginal_candidates,p90_complete_marginal_candidates,p99_complete_marginal_candidates,mean_complete_marginal_candidates,median_state_word_metric_evals,p90_state_word_metric_evals,p99_state_word_metric_evals,mean_state_word_metric_evals,median_bit_metric_accumulations,p90_bit_metric_accumulations,p99_bit_metric_accumulations,mean_bit_metric_accumulations,median_osd_reprocessings,p90_osd_reprocessings,p99_osd_reprocessings,mean_osd_reprocessings,median_bch_decode_attempts,p90_bch_decode_attempts,p99_bch_decode_attempts,mean_bch_decode_attempts,median_preprocessing_state_metrics,p90_preprocessing_state_metrics,p99_preprocessing_state_metrics,mean_preprocessing_state_metrics,median_wall_seconds,p90_wall_seconds,p99_wall_seconds,mean_wall_seconds,median_first_component_gap,p90_first_component_gap,p99_first_component_gap,mean_first_component_gap
BCH64_45,extended_bch,64,45,0.703125,trace_no_slip,dqpsk_control,33,10000,70,0.007,0.005544619309554507,0.008834003083932618,0.0,0.0,0.9995,1.3636363636363635,54.0,54.0,54.0,54.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,6.0,1.6121,1.0,3.0,6.0,1.6121,1.0,3.0,6.0,1.6121,1.0,3.0,6.0,1.6121,64.0,192.0,384.0,103.1744,0.0,0.0,0.0,0.0,22.0,22.0,22.0,22.0,1.0,1.0,1.0,1.0,0.007901544973719865,0.009475492849014699,0.01181077690096572,0.00804644652971765,,,,
BCH64_45,extended_bch,64,45,0.703125,trace_no_slip,event_full_code_specific,32,10000,0,0.0,0.0,0.00038399837067659573,0.0,0.0,1.0,1.40625,22.0,22.0,22.0,22.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0551,1.0,1.0,3.0,1.0551,1.0,1.0,3.0,1.0551,1.0,1.0,3.0,1.0551,64.0,64.0,192.0,67.5264,0.0,0.0,0.0,0.0,22.0,22.0,22.0,22.0,1.0,1.0,1.0,1.0,0.007534461561590433,0.009057033399585634,0.011337134774075823,0.00768260270942701,,,,
BCH64_45,extended_bch,64,45,0.703125,trace_no_slip,event_full_state_osd,32,10000,0,0.0,0.0,0.00038399837067659573,0.0,0.0,1.0,1.40625,22.0,22.0,22.0,22.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0551,1.0,1.0,3.0,1.0551,1.0,1.0,3.0,1.0551,1.0,1.0,3.0,1.0551,64.0,64.0,192.0,67.5264,0.0,0.0,0.0,0.0,22.0,22.0,22.0,22.0,1.0,1.0,1.0,1.0,0.007534461561590433,0.009057033399585634,0.011337134774075823,0.00768260270942701,,,,
BCH64_45,extended_bch,64,45,0.703125,trace_no_slip,event_ls_adaptive_l2,32,10000,0,0.0,0.0,0.00038399837067659573,0.0,0.0,1.0,1.40625,22.0,22.0,22.0,22.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0551,1.0,1.0,3.0,1.0551,1.0,1.0,3.0,1.0551,1.0,1.0,3.0,1.0551,64.0,64.0,192.0,67.5264,0.0,0.0,0.0,0.0,22.0,22.0,22.0,22.0,1.0,1.0,1.0,1.0,0.007534461561590433,0.009057033399585634,0.011337134774075823,0.00768260270942701,,,,
BCH64_45,extended_bch,64,45,0.703125,trace_no_slip,event_ls_first,32,10000,0,0.0,0.0,0.00038399837067659573,0.0,0.0,1.0,1.40625,22.0,22.0,22.0,22.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0551,1.0,1.0,3.0,1.0551,1.0,1.0,3.0,1.0551,1.0,1.0,3.0,1.0551,64.0,64.0,192.0,67.5264,0.0,0.0,0.0,0.0,22.0,22.0,22.0,22.0,1.0,1.0,1.0,1.0,0.007534461561590433,0.009057033399585634,0.011337134774075823,0.00768260270942701,,,,
BCH64_45,extended_bch,64,45,0.703125,trace_no_slip,event_posterior_pruned_code_specific,32,10000,0,0.0,0.0,0.00038399837067659573,0.0,0.0,1.0,1.40625,22.0,22.0,22.0,22.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0551,1.0,1.0,3.0,1.0551,1.0,1.0,3.0,1.0551,1.0,1.0,3.0,1.0551,64.0,64.0,192.0,67.5264,0.0,0.0,0.0,0.0,22.0,22.0,22.0,22.0,1.0,1.0,1.0,1.0,0.007534461561590433,0.009057033399585634,0.011337134774075823,0.00768260270942701,,,,
BCH64_45,extended_bch,64,45,0.703125,trace_no_slip,event_state_marginal_code_specific,32,10000,0,0.0,0.0,0.00038399837067659573,0.0,0.0,1.0,1.40625,22.0,22.0,22.0,22.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0551,1.0,1.0,3.0,1.0551,1.0,1.0,3.0,1.0551,1.0,1.0,3.0,1.0551,64.0,64.0,192.0,67.5264,0.0,0.0,0.0,0.0,22.0,22.0,22.0,22.0,1.0,1.0,1.0,1.0,0.007534461561590433,0.009057033399585634,0.011337134774075823,0.00768260270942701,,,,
BCH64_45,extended_bch,64,45,0.703125,trace_no_slip,normal_code_decoder,32,10000,0,0.0,0.0,0.00038399837067659573,0.0,0.0,1.0,1.40625,22.0,22.0,22.0,22.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0551,1.0,1.0,3.0,1.0551,1.0,1.0,3.0,1.0551,1.0,1.0,3.0,1.0551,64.0,64.0,192.0,67.5264,0.0,0.0,0.0,0.0,22.0,22.0,22.0,22.0,1.0,1.0,1.0,1.0,0.007475944992620498,0.008987963234540075,0.011256138483295219,0.007625595395616256,,,,
BCH64_45,extended_bch,64,45,0.703125,trace_one_slip,dqpsk_control,33,300,79,0.2633333333333333,0.21671150294236005,0.3159395034372583,0.0,0.0,0.9733333333333334,1.3636363636363635,54.0,54.0,54.0,54.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,6.0,10.0,3.0833333333333335,3.0,6.0,10.0,3.0833333333333335,3.0,6.0,10.0,3.0833333333333335,3.0,6.0,10.0,3.0833333333333335,192.0,384.0,640.0,197.33333333333334,0.0,0.0,0.0,0.0,22.0,22.0,22.0,22.0,1.0,1.0,1.0,1.0,0.007866450992878526,0.009536127385217698,0.013097124447813255,0.008045863086978595,,,,
BCH64_45,extended_bch,64,45,0.703125,trace_one_slip,event_full_code_specific,32,240,3,0.0125,0.004260067321970977,0.03610000462104887,1.0,0.0,1.0,1.40625,1408.0,1408.0,1408.0,1408.0,0.0,0.0,0.0,0.0,63.0,63.0,63.0,63.0,1.0,1.0,1.0,1.0,138.0,158.0,171.60999999999999,138.4125,138.0,158.0,171.60999999999999,138.4125,138.0,158.0,171.60999999999999,138.4125,8540.0,9766.2,10601.029999999999,8550.004166666668,546560.0,625036.8,678465.9199999999,547200.2666666667,0.0,0.0,0.0,0.0,1408.0,1408.0,1408.0,1408.0,64.0,64.0,64.0,64.0,0.46236272843088955,0.4878037947812118,0.5171674140926915,0.4596080283416086,,,,
